ano,co_entidade,nome_escola,dependencia_administrativa,localizacao,bairro,endereco,cep,latitude,longitude,etapas_ofertadas_resumo,matriculas_total_educacao_basica,matriculas_educacao_infantil,matriculas_ensino_fundamental,matriculas_ensino_medio
2025,42081416,EEF CAMPO NOVO I,Municipal,Rural,AREA RURAL DE TIJUCAS,RURAL DE TIJUCAS,88207899,-27.19262,-48.72917,Ensino fundamental | Fundamental anos iniciais | Educação especial,40,0,40,0
2025,42081432,EEB CRUZ E SOUSA,Estadual,Urbana,PRAÇA,LILA BASTOS,88200342,,,Ensino fundamental | Fundamental anos iniciais | Fundamental anos finais | Ensino médio | Educação especial,1797,0,807,990
2025,42103770,COLEGIO DE APLICACAO DA UNIVALI,Privada,Urbana,UNIVERSITÁRIO,PARANA,88201542,-27.23915333,-48.64419833,Ensino fundamental | Fundamental anos iniciais | Fundamental anos finais | Ensino médio | Educação especial,667,0,518,149
2025,42106990,PE CRIANCA FELIZ,Municipal,Urbana,CENTRO,DO GOVERNO,88200009,-27.23734305,-48.63818953,Educação infantil | Pré-escola | Educação especial,118,118,0,0
2025,42107008,EEF MERCEDES JULIA ADAO,Municipal,Urbana,CENTRO,CORONEL CONCEICAO,88200390,-27.23757392,-48.62800403,Ensino fundamental | Fundamental anos iniciais | Educação especial,381,0,381,0
2025,42107016,EEF BRILHO DO SOL,Municipal,Urbana,JOÁIA,ESTEVAO CAETANO RITA,88203410,-27.25223291,-48.6633143,Educação infantil | Pré-escola | Educação especial,192,192,0,0
2025,42107024,PE CIRANDINHA,Municipal,Rural,PORTO DO ITINGA,ESTR. GERAL DO PORTO DO ITINGA,88207899,,,Educação infantil | Pré-escola,21,21,0,0
2025,42113547,CEI SESC TIJUCAS,Privada,Urbana,CENTRO,DO GOVERNO,88200009,-27.23518139,-48.63814537,Educação infantil | Creche | Pré-escola | Educação especial,186,186,0,0
2025,42113563,SESC LER TIJUCAS,Privada,Urbana,PRAÇA,JOAO POLICARPO PACHECO,88200510,-27.23790367,-48.6144877,EJA | Educação especial,21,0,0,0
2025,42115043,EEF SANTA TEREZINHA,Municipal,Urbana,UNIVERSITÁRIO,MATO GROSSO,88201502,-27.2331891,-48.64519397,Ensino fundamental | Fundamental anos iniciais | Fundamental anos finais | Educação especial,1023,0,1023,0
2025,42120667,INSTITUTO CORALIA OLINGER - APAE,Privada,Urbana,CENTRO,HERCILIO LUZ,88200021,-27.2417215,-48.6395565,,,,,
2025,42126819,UD DE TIJUCAS,Estadual,Urbana,CENTRO,RUA JOSE MANOEL REIS,88200208,-27.23112,-48.63345,EJA | Educação especial,268,0,0,0
2025,42130980,COLEGIO E SUPLETIVO NOVO MILENIO,Privada,Urbana,CENTRO,SANTA CATARINA,88200082,,,,,,,
2025,42139457,SENAI SC - TIJUCAS,Privada,Urbana,UNIVERSITÁRIO,JOSE MANOEL REIS,88201482,-27.22997305,-48.63223555,Educação especial,135,0,0,0
2025,42141516,CEI MAE AURORA,Municipal,Urbana,CENTRO,IRENE PEITER BARRETO,88200164,-27.23831753,-48.63524195,Educação infantil | Creche,102,102,0,0
2025,42141524,CMEI IVANIA LEMOS FREITAS,Municipal,Urbana,PRAÇA,PETRONILHO AVILA,88200518,-27.2340515,-48.6191247,Educação infantil | Creche | Educação especial,193,193,0,0
2025,42141532,CMEI PROFª MARIA DE LOURDES SOUZA FURTADO,Municipal,Urbana,JOÁIA,LUIZ FELLER,88203370,-27.24844577,-48.65918883,Educação infantil | Creche | Educação especial,241,241,0,0
2025,42142253,COLEGIO PLANETA,Privada,Urbana,CENTRO,ATHANASIO BERNARDES,88200186,-27.23545284,-48.63264115,Educação infantil | Creche | Pré-escola | Ensino fundamental | Fundamental anos iniciais | Fundamental anos finais | Educação especial,471,122,349,0
2025,42146526,CEI ENEIDE MANNRICH DOS SANTOS,Municipal,Urbana,CENTRO,RUA FLORIANOPOLIS,88200100,-27.2422359,-48.6343148,Educação infantil | Creche | Educação especial,83,83,0,0
2025,42151759,CEI PROFª MARIA HELENA MACHADO,Municipal,Urbana,CENTRO,CAIO JONAS PORTELLA,88200286,-27.23937579,-48.6274015,Educação infantil | Pré-escola | Educação especial,376,376,0,0
2025,42152933,UD PRESIDIO REGIONAL DE TIJUCAS,Estadual,Rural,ITINGA,RUA ALBERTO TOMAZI,88207899,,,EJA,118,0,0,0
2025,42154138,CEI ZILDA MARIA PEIXER,Municipal,Urbana,CENTRO,BEM-TE-VI,88200264,,,Educação infantil | Creche | Educação especial,256,256,0,0
2025,42156297,SESI SC - TIJUCAS,Privada,Urbana,CENTRO,JOSE MANOEL REIS,88200208,-27.23006667,-48.632325,Ensino médio | Educação especial,295,0,0,295
2025,42158818,DOM BOSCO PREMIUM,Privada,Urbana,XV DE NOVEMBRO,ALAMIR BOAVENTURA CABRAL FARIA,88203122,,,Educação infantil | Creche | Pré-escola | Ensino fundamental | Fundamental anos iniciais | Fundamental anos finais | Ensino médio | Educação especial,703,134,477,92
2025,42160707,CEI HERCILIO GIACOMOSSI,Municipal,Urbana,NOVA DESCOBERTA,TITICO GIACOMOSSI,88204080,,,Educação infantil | Creche | Pré-escola | Educação especial,117,117,0,0
2025,42162238,INTERFERENCIA TREINAMENTO,Privada,Urbana,CENTRO,MARECHAL DEODORO DA FONSECA,88200184,,,,52,0,0,0
2025,42163595,COLEGIO PREMIUM,Privada,Urbana,UNIVERSITÁRIO,JACARANDA,88201484,,,Educação infantil | Creche | Pré-escola | Ensino fundamental | Fundamental anos iniciais | Educação especial,174,127,47,0
2025,42164257,COOPERATIVA DE TRABALHO EDUCACIONAL DE PROFESSORES E ESPECIALISTAS - COOEPE,Privada,Urbana,XV DE NOVEMBRO,ALAMIR BOAVENTURA CABRAL FARIA,88203122,,,EJA,14,0,0,0
2025,42215218,CEI NAIR FERREIRA,Municipal,Urbana,PRAÇA,PORTO BELO,88200352,-27.24027558,-48.62156723,,,,,
2025,42356261,CEI PROF MARCO AURELIO DE OLIVEIRA,Municipal,Urbana,AREIAS,OSVALDO ARGINO CORDEIRO,88201032,-27.228394,-48.6360638,Educação infantil | Creche | Pré-escola | Educação especial,214,214,0,0
