CD_SETOR,NM_UF,NM_MUN,nm_mesorregiao,SITUACAO,AREA_KM2,V06004,V06002,populacao_cidade,moradores_km2,obras_proximidade,area_total_sum,cno,ni_responsavel,nome_empresarial,ano_inicio,meses_inicio,ano_registro,nome_municipio,bairro,logradouro,categoria,destinacao,tipo_obra
421800405000037,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.202255323867666,2414,82,51215,405,2,740,600084222861,Pessoa fisica,Pessoa fisica,2011-01-01,183,2022,TIJUCAS,Centro,FRANCISCO LAUS BAIXO,Obra Nova,Galpão industrial,Alvenaria
421800405000039,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,2.118759926482833,1736,882,51215,416,0,0,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
421800405000040,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,2.420985457089301,2350,358,51215,147,0,0,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
421800405000041,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.573079018505287,1883,350,51215,610,0,0,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
421800405000042,Santa Catarina,Tijucas,Grande Florianópolis,Rural,16.036517740863037,2409,202,51215,12,0,0,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
421800405000043,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.158133706593759,2523,674,51215,4262,0,0,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
421800405000044,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.354069516045669,2040,1124,51215,3174,2,6976,900116516173,5067968000159.0,TR EMPREENDIMENTOS E PARTICIPACOES LTDA,2021-01-01,58,2022,TIJUCAS,PRAÇA,HENRIQUE BOITEUX,Demolição,Residencial unifamiliar,Alvenaria
421800405000045,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.153996598292012,2411,1190,51215,7727,0,0,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
421800405000046,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,1.547515299728535,2013,1237,51215,799,2,4873,900166241473,79080602000156.0,UNIAO SUL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA,2023-01-01,30,2023,TIJUCAS,Praça,NOVA BRASILIA,Obra Nova,Comercial salas e lojas,Alvenaria
421800405000047,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.110531191453064,2919,838,51215,7581,0,0,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
421800405000048,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.149502922452746,3189,1062,51215,7103,3,1769,900067813271,6108176000148.0,TRANSPORTADORA MOTTER & MOTTER LTDA,2021-01-01,63,2021,TIJUCAS,PRAÇA,COLEIRA,Obra Nova,Galpão industrial,Alvenaria
421800405000049,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.412813214263238,2608,1128,51215,2732,3,611,900099930168,Pessoa fisica,Pessoa fisica,2013-01-01,159,2022,TIJUCAS,PRAÇA,ESAU BAYER,Obra Nova,Residencial unifamiliar,Alvenaria
421800405000050,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.127801009836339,6108,425,51215,3325,4,11157,900096944375,7645258000194.0,ARCKO EMPREENDIMENTOS IMOBILIARIOS LTDA,2021-01-01,54,2022,TIJUCAS,CENTRO,NERI FRANCISCO DE CAMPOS,Obra Nova,Residencial multifamiliar,Alvenaria
421800405000051,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.122149600993013,3630,603,51215,4936,1,136,900061468765,Pessoa fisica,Pessoa fisica,2010-01-01,184,2021,TIJUCAS,CENTRO,JUCY DOS ANJOS,Obra Nova,Residencial unifamiliar,Alvenaria
421800405000052,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.216079819608689,4380,967,51215,4475,2,736,900124052072,13228073000187.0,AKON LTDA,2019-01-01,79,2022,TIJUCAS,UNIVERSITARIO,PARA,Demolição,Residencial unifamiliar,Alvenaria
421800405000053,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.13487825911154,4317,569,51215,4218,0,0,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
421800405000054,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.134592581000867,3468,855,51215,6352,7,5245,600287122976,86367406000122.0,AUTO POSTO UNIAO LTDA,2010-01-01,194,2023,TIJUCAS,CENTRO,BAYER FILHO,Obra Nova,Galpão industrial,Alvenaria
421800405000055,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.251817913322473,4838,709,51215,2815,10,37067,600295810167,Pessoa fisica,Pessoa fisica,2019-01-01,85,2023,TIJUCAS,UNIVERSITARIO,IZIDORO,Obra Nova,Residencial multifamiliar,Alvenaria
421800405000056,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.681849967570935,2924,724,51215,1061,1,50,900117515261,Pessoa fisica,Pessoa fisica,2022-01-01,47,2022,TIJUCAS,AREIAS,VENCESLAU FERNANDES,Reforma,Residencial unifamiliar,Alvenaria
421800405000057,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,1.579126027001491,1809,1521,51215,963,0,0,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
421800405000058,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.175946501577193,1989,919,51215,5223,1,501,900221727976,44440833000149.0,G & I ADMINISTRADORA DE BENS LTDA,2024-01-01,17,2024,TIJUCAS,UNIVERSITÁRIO,JOSE MANOEL REIS,Obra Nova,Galpão industrial,Mista
421800405000059,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,2.175285697696631,3232,1221,51215,561,6,3203,900062360377,7836947000186.0,TEZ BUILDING LTDA.,2020-01-01,70,2021,TIJUCAS,AREIAS,PAU BRASIL,Obra Nova,Residencial multifamiliar,Alvenaria
421800405000060,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.09118712341335,4104,867,51215,9507,0,0,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
421800405000061,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.142525949146193,3685,920,51215,6454,5,1712,512349579868,Pessoa fisica,Pessoa fisica,2016-01-01,121,2021,TIJUCAS,AREIAS,IPE AMARELO,Obra Nova,Residencial unifamiliar,Alvenaria
421800405000062,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.09804155638547,4173,684,51215,6976,3,2722,900126373963,Pessoa fisica,Pessoa fisica,2022-01-01,42,2022,TIJUCAS,AREIAS,IPE DO CERRADO,Obra Nova,Comercial salas e lojas,Alvenaria
421800405000063,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.153572114967398,3810,1071,51215,6973,0,0,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
421800405000064,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.081193479681858,4584,441,51215,5431,1,105,900126581076,44689775000191.0,F&L INCORPORACOES IMOBLIARIAS LTDA,2022-01-01,41,2022,TIJUCAS,XV DE NOVEMBRO,QUINZE DE NOVEMBRO,Demolição,Residencial unifamiliar,Alvenaria
421800405000065,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.421667881456452,4878,464,51215,1100,2,392,600293698563,Pessoa fisica,Pessoa fisica,2018-01-01,88,2023,TIJUCAS,CENTRO,13 DE NOVEMBRO,Obra Nova,Comercial salas e lojas,Mista
421800405000066,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.565837171168307,3467,1583,51215,2797,15,6049,600307995475,16562527000140.0,JUNTTA EMPREENDIMENTOS LTDA,2020-01-01,75,2023,TIJUCAS,XV DE NOVEMBRO,ZURY LEMOS,Obra Nova,Comercial salas e lojas,Alvenaria
421800405000067,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.15431288298453,2880,577,51215,3739,2,447,900176397576,14278819000120.0,V.A.N. ECCEL CONSTRUTORA E INCORPORADORA LTDA,2023-01-01,28,2024,TIJUCAS,XV DE NOVEMBRO,WALDEMAR DE CARVALHO,Obra Nova,Residencial multifamiliar,Alvenaria
