dt_data_competencia,nm_adm_desl,cd_uf,nm_uf,cd_divisao,nm_grupo,nm_divisao,saldo_total
2023-08-01,Desligado,42,Santa Catarina,20,Fabricação de defensivos agrícolas e desinfestantes domissanitários,Fabricação de produtos químicos,-6.0
2023-08-01,Admitido,42,Santa Catarina,20,Fabricação de fibras artificiais e sintéticas,Fabricação de produtos químicos,7.0
2023-08-01,Admitido,42,Santa Catarina,20,"Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",Fabricação de produtos químicos,107.0
2023-08-01,Admitido,42,Santa Catarina,20,Fabricação de resinas e elastômeros,Fabricação de produtos químicos,36.0
2023-08-01,Desligado,42,Santa Catarina,20,Fabricação de resinas e elastômeros,Fabricação de produtos químicos,-33.0
2023-08-01,Desligado,42,Santa Catarina,20,Fabricação de produtos e preparados químicos diversos,Fabricação de produtos químicos,-126.0
2023-08-01,Admitido,42,Santa Catarina,21,Fabricação de produtos farmoquímicos,Fabricação de produtos farmoquímicos e farmacêuticos,9.0
2023-08-01,Desligado,42,Santa Catarina,21,Fabricação de produtos farmoquímicos,Fabricação de produtos farmoquímicos e farmacêuticos,-4.0
2023-08-01,Admitido,42,Santa Catarina,21,Fabricação de produtos farmacêuticos,Fabricação de produtos farmoquímicos e farmacêuticos,89.0
2023-08-01,Desligado,42,Santa Catarina,21,Fabricação de produtos farmacêuticos,Fabricação de produtos farmoquímicos e farmacêuticos,-60.0
2023-08-01,Desligado,42,Santa Catarina,22,Fabricação de produtos de borracha,Fabricação de produtos de borracha e de material plástico,-134.0
2023-08-01,Admitido,42,Santa Catarina,22,Fabricação de produtos de material plástico,Fabricação de produtos de borracha e de material plástico,2433.0
2023-08-01,Admitido,42,Santa Catarina,22,Fabricação de produtos de borracha,Fabricação de produtos de borracha e de material plástico,134.0
2023-08-01,Desligado,42,Santa Catarina,22,Fabricação de produtos de material plástico,Fabricação de produtos de borracha e de material plástico,-2026.0
2023-08-01,Admitido,42,Santa Catarina,23,Aparelhamento de pedras e fabricação de outros produtos de minerais não metálicos,Fabricação de produtos de minerais não metálicos,206.0
2023-08-01,Desligado,42,Santa Catarina,23,Aparelhamento de pedras e fabricação de outros produtos de minerais não metálicos,Fabricação de produtos de minerais não metálicos,-201.0
2023-08-01,Admitido,42,Santa Catarina,23,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",Fabricação de produtos de minerais não metálicos,692.0
2023-08-01,Desligado,42,Santa Catarina,23,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",Fabricação de produtos de minerais não metálicos,-640.0
2023-08-01,Admitido,42,Santa Catarina,23,Fabricação de cimento,Fabricação de produtos de minerais não metálicos,8.0
2023-08-01,Desligado,42,Santa Catarina,23,Fabricação de vidro e de produtos do vidro,Fabricação de produtos de minerais não metálicos,-137.0
2023-08-01,Admitido,42,Santa Catarina,23,Fabricação de vidro e de produtos do vidro,Fabricação de produtos de minerais não metálicos,139.0
2023-08-01,Admitido,42,Santa Catarina,23,Fabricação de produtos cerâmicos,Fabricação de produtos de minerais não metálicos,453.0
2023-08-01,Desligado,42,Santa Catarina,23,Fabricação de produtos cerâmicos,Fabricação de produtos de minerais não metálicos,-649.0
2023-08-01,Desligado,42,Santa Catarina,23,Fabricação de cimento,Fabricação de produtos de minerais não metálicos,-8.0
2023-08-01,Desligado,42,Santa Catarina,24,Metalurgia dos metais não ferrosos,Metalurgia,-62.0
2023-08-01,Desligado,42,Santa Catarina,24,Siderurgia,Metalurgia,-38.0
2023-08-01,Desligado,42,Santa Catarina,24,Fundição,Metalurgia,-549.0
