"Código","Unidade Territorial","UF","Referência","Número de famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Número de famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor médio do benefício do Programa Bolsa Família (até outubro/2021)","Valor médio do benefício do Programa Bolsa Família (a partir de março/2023)"
"420010","ABELARDO LUZ","SC","10/2015","1504","","238330","","158,46",""
"420010","ABELARDO LUZ","SC","11/2015","1473","","232861","","158,09",""
"420010","ABELARDO LUZ","SC","12/2015","1538","","242945","","157,96",""
"420010","ABELARDO LUZ","SC","05/2026","","1534","","1073797","","701,37"
"420010","ABELARDO LUZ","SC","08/2024","","1603","","1099515,0","","687,20"
"420010","ABELARDO LUZ","SC","07/2024","","1622","","1103011,0","","681,29"
"420010","ABELARDO LUZ","SC","07/2017","1413","","247521","","175,17",""
"420010","ABELARDO LUZ","SC","08/2023","","1701","","1211134,00","","712,01"
"420010","ABELARDO LUZ","SC","09/2023","","1715","","1215735","","708,88"
"420010","ABELARDO LUZ","SC","06/2017","1508","","264780","","175,58",""
"420010","ABELARDO LUZ","SC","03/2023","","1663","","1147948","","690,29"
"420010","ABELARDO LUZ","SC","05/2017","1518","","264916","","174,52",""
"420010","ABELARDO LUZ","SC","04/2017","1539","","268862","","174,70",""
"420010","ABELARDO LUZ","SC","03/2017","1557","","267612","","171,88",""
"420010","ABELARDO LUZ","SC","02/2017","1560","","269074","","172,48",""
"420010","ABELARDO LUZ","SC","01/2017","1552","","266776","","171,89",""
"420010","ABELARDO LUZ","SC","01/2026","","1422","","1047460","","736,61"
"420010","ABELARDO LUZ","SC","02/2026","","1480","","1045166","","706,19"
"420010","ABELARDO LUZ","SC","10/2023","","1736","","1223265,0","","704,65"
"420010","ABELARDO LUZ","SC","03/2026","","1501","","1038622","","694,27"
"420010","ABELARDO LUZ","SC","06/2023","","1709","","1256351","","735,14"
"420010","ABELARDO LUZ","SC","04/2026","","1516","","1053310","","696,63"
"420010","ABELARDO LUZ","SC","11/2023","","1702","","1181527,0","","695,02"
"420010","ABELARDO LUZ","SC","02/2015","1654","","264034","","159,63",""
"420010","ABELARDO LUZ","SC","01/2024","","1653","","1148264,0","","694,65"
"420010","ABELARDO LUZ","SC","05/2023","","1713","","1204282","","703,03"
"420010","ABELARDO LUZ","SC","01/2015","1659","","264538","","159,46",""
"420010","ABELARDO LUZ","SC","07/2023","","1680","","1174974,00","","699,39"
"420010","ABELARDO LUZ","SC","04/2023","","1668","","1152729","","691,08"
"420010","ABELARDO LUZ","SC","02/2024","","1644","","1144175,0","","695,97"
"420010","ABELARDO LUZ","SC","03/2024","","1650","","1125465","","684,17"
"420010","ABELARDO LUZ","SC","04/2024","","1667","","1142153,0","","687,22"
"420010","ABELARDO LUZ","SC","05/2024","","1655","","1141455,0","","690,54"
"420010","ABELARDO LUZ","SC","06/2024","","1671","","1156877,0","","693,16"
"420010","ABELARDO LUZ","SC","09/2024","","1592","","1103634,0","","694,98"
"420010","ABELARDO LUZ","SC","10/2024","","1581","","1095335,0","","694,13"
"420010","ABELARDO LUZ","SC","11/2024","","1596","","1095462,0","","688,97"
"420010","ABELARDO LUZ","SC","12/2024","","1623","","1106080,0","","684,03"
"420010","ABELARDO LUZ","SC","12/2023","","1661","","1152442,0","","694,24"
"420010","ABELARDO LUZ","SC","12/2017","1541","","267607","","173,66",""
"420010","ABELARDO LUZ","SC","11/2017","1521","","266333","","175,10",""
"420010","ABELARDO LUZ","SC","10/2017","1502","","264424","","176,05",""
"420010","ABELARDO LUZ","SC","09/2017","1494","","258726","","173,18",""
"420010","ABELARDO LUZ","SC","08/2017","1514","","264045","","174,40",""
"420010","ABELARDO LUZ","SC","08/2015","1624","","259247","","159,63",""
"420010","ABELARDO LUZ","SC","03/2015","1654","","266172","","160,93",""
"420010","ABELARDO LUZ","SC","05/2015","1634","","263002","","160,96",""
"420020","AGROLÂNDIA","SC","05/2017","84","","14827","","176,51",""
"420020","AGROLÂNDIA","SC","10/2023","","156","","108829,0","","697,62"
"420020","AGROLÂNDIA","SC","11/2023","","157","","103782,0","","661,03"
"420020","AGROLÂNDIA","SC","12/2023","","154","","101689,0","","660,32"
"420020","AGROLÂNDIA","SC","05/2015","129","","20437","","158,43",""
"420020","AGROLÂNDIA","SC","04/2015","130","","20521","","157,85",""
"420020","AGROLÂNDIA","SC","06/2024","","174","","115947,0","","666,36"
"420020","AGROLÂNDIA","SC","01/2024","","154","","100705,0","","653,93"
"420020","AGROLÂNDIA","SC","02/2024","","172","","114382,0","","665,01"
"420020","AGROLÂNDIA","SC","03/2024","","171","","110100","","647,65"
"420020","AGROLÂNDIA","SC","04/2024","","177","","115745,0","","657,64"
"420020","AGROLÂNDIA","SC","05/2024","","176","","116472,0","","661,77"
"420020","AGROLÂNDIA","SC","07/2024","","169","","111360,0","","658,93"
"420020","AGROLÂNDIA","SC","08/2024","","165","","110716,0","","671,01"
"420020","AGROLÂNDIA","SC","11/2024","","171","","123189,0","","720,40"
"420020","AGROLÂNDIA","SC","12/2024","","174","","121659,0","","699,19"
"420020","AGROLÂNDIA","SC","02/2015","129","","19964","","154,76",""
"420020","AGROLÂNDIA","SC","01/2015","130","","20376","","156,74",""
"420020","AGROLÂNDIA","SC","09/2024","","167","","112491,0","","677,66"
"420020","AGROLÂNDIA","SC","10/2024","","172","","116364,0","","680,49"
"420020","AGROLÂNDIA","SC","08/2023","","162","","113334,00","","699,59"
"420020","AGROLÂNDIA","SC","07/2023","","195","","134185,00","","688,13"
