anexo_padronizado,coluna,cod_conta,conta,linhas,municipios,anos,primeiro_ano,ultimo_ano
Anexo I-AB,31/12/2013,ObrigacoesAPagarEmCirculacao,37 - Obrigações a Pagar - Em Circulação,78,78,1,2013,2013
Anexo I-AB,31/12/2013,ObrigacoesEmCirculacao,27 - OBRIGAÇÕES EM CIRCULAÇÃO = (28+29+33+37+38+39+42),221,221,1,2013,2013
Anexo I-AB,31/12/2013,ObrigacoesEmCirculacaoPF,6 - OBRIGAÇÕES EM CIRCULAÇÃO - PF = (7+18+20+21+22+23),284,284,1,2013,2013
Anexo I-AB,31/12/2013,ObrigacoesExigiveisALongoPrazo,46 - Obrigações Exigíveis a Longo Prazo = (47+51+55+56+57+62),238,238,1,2013,2013
Anexo I-AB,31/12/2013,ObrigacoesLegaisETributariasALongoPrazo,55 - Obrigações Legais e Tributárias,39,39,1,2013,2013
Anexo I-AB,31/12/2013,ObrigacoesTributarias,16 - Obrigações Tributárias,62,62,1,2013,2013
Anexo I-AB,31/12/2013,OperacoesDeCreditoExternasALongoPrazo,51 - Operações de Crédito Externas - Longo Prazo (52+53+54),10,10,1,2013,2013
Anexo I-AB,31/12/2013,OperacoesDeCreditoExternasEmCirculacao,33 - Operações de Crédito Externas - Em Circulação (34+35+36),9,9,1,2013,2013
Anexo I-AB,31/12/2013,OperacoesDeCreditoInternas,29 - Operações de Crédito Internas - Em Circulação (30+31+32),185,185,1,2013,2013
Anexo I-AB,31/12/2013,OperacoesDeCreditoInternasALongoPrazo,47 - Operações de Crédito Internas - Longo Prazo (48+49+50),202,202,1,2013,2013
Anexo I-AB,31/12/2013,OutrasAplicacoes,11 - Outras aplicações,52,52,1,2013,2013
Anexo I-AB,31/12/2013,OutrasCompensacoesAtivo,89 - Outras Compensações,269,269,1,2013,2013
Anexo I-AB,31/12/2013,OutrasExigibilidades,62 - Outras Exigibilidades,18,18,1,2013,2013
Anexo I-AB,31/12/2013,OutrasObrigacoesAPagar,22 - Outras Obrigações a Pagar,47,47,1,2013,2013
Anexo I-AB,31/12/2013,OutrosBensEValoresEmCirculacao,43 - Outros Bens e Valores em Circulação,13,13,1,2013,2013
Anexo I-AB,31/12/2013,OutrosBensImoveis,75 - Outros Bens Imóveis,228,228,1,2013,2013
Anexo I-AB,31/12/2013,OutrosBensMoveis,71 - Outros Bens Móveis,264,264,1,2013,2013
Anexo I-AB,31/12/2013,OutrosCreditosEmCirculacao,38 - Outros Créditos em Circulação,46,46,1,2013,2013
Anexo I-AB,31/12/2013,OutrosDebitosAPagar,42 - Outros Débitos a Pagar,15,15,1,2013,2013
Anexo I-AB,31/12/2013,OutrosInvestimentos,66 - Outros Investimentos,49,49,1,2013,2013
Anexo I-AB,31/12/2013,OutrosValoresPendentesACurtoPrazo,47 - Outros Valores Pendentes a Curto Prazo,76,76,1,2013,2013
Anexo I-AB,31/12/2013,OutrosValoresRealizaveis,17 - Outros Valores Realizáveis,28,28,1,2013,2013
Anexo I-AB,31/12/2013,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P1.1.1.0.0.00.00,1.1.1.0.0.00.00 - Caixa e Equivalentes de Caixa,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P1.1.1.1.0.00.00,1.1.1.1.0.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P1.1.1.1.1.00.00,1.1.1.1.1.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional - Consolidação,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P1.1.2.0.0.00.00,1.1.2.0.0.00.00 - Créditos a Curto Prazo,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.1.2.3.0.00.00,1.1.2.3.0.00.00 - Créditos de Transferências a Receber,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.1.2.3.1.00.00,1.1.2.3.1.00.00 - Créditos de Transferências a Receber - Consolidação,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.1.2.5.0.00.00,1.1.2.5.0.00.00 - Divida Ativa Tributaria,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.1.2.5.1.00.00,1.1.2.5.1.00.00 - Divida Ativa Tributaria - Consolidação,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.1.3.0.0.00.00,1.1.3.0.0.00.00 - Demais Créditos e Valores a Curto Prazo,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.1.3.4.0.00.00,1.1.3.4.0.00.00 - Créditos por Danos ao Patrimônio,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.1.3.4.1.00.00,1.1.3.4.1.00.00 - Créditos por Danos ao Patrimonio- Consolidação,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.1.0.0.00.00,1.2.1.0.0.00.00 - Ativo Realizável a Longo Prazo,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.1.1.0.00.00,1.2.1.1.0.00.00 - Créditos a Longo Prazo,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.1.1.1.00.00,1.2.1.1.1.00.00 - Créditos a Longo Prazo - Consolidação,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.1.1.1.01.00,1.2.1.1.1.01.00 - Créditos Tributários a Receber,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.1.1.1.04.00,1.2.1.1.1.04.00 - Divida Ativa Tributaria,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.2.0.0.00.00,1.2.2.0.0.00.00 - Investimentos,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.2.3.0.00.00,1.2.2.3.0.00.00 - Investimentos do RPPS de Longo Prazo,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.2.3.1.00.00,1.2.2.3.1.00.00 - Investimentos do RPPS de Longo Prazo - Consolidação,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.2.7.0.00.00,1.2.2.7.0.00.00 - Demais Investimentos Permanentes,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.2.7.1.00.00,1.2.2.7.1.00.00 - Demais Investimentos Permanentes - Consolidação,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.3.0.0.00.00,1.2.3.0.0.00.00 - Imobilizado,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.3.1.0.00.00,1.2.3.1.0.00.00 - Bens Moveis,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.3.1.1.00.00,1.2.3.1.1.00.00 - Bens Moveis- Consolidação,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.3.2.0.00.00,1.2.3.2.0.00.00 - Bens Imóveis,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P1.2.3.2.1.00.00,1.2.3.2.1.00.00 - Bens Imoveis- Consolidação,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P2.1.1.0.0.00.00,"2.1.1.0.0.00.00 - Obrigações Trabalhistas, Previdenciárias e Assistenciais a Pagar a Curto Prazo",1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.1.1.1.0.00.00,2.1.1.1.0.00.00 - Pessoal a Pagar,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.1.1.1.1.00.00,2.1.1.1.1.00.00 - Pessoal a Pagar - Consolidação,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.1.2.0.0.00.00,2.1.2.0.0.00.00 - Empréstimos e Financiamentos a Curto Prazo,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.1.2.3.0.00.00,2.1.2.3.0.00.00 - Financiamentos a Curto Prazo - Interno,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.1.2.3.1.00.00,2.1.2.3.1.00.00 - Financiamentos a Curto Prazo- Interno - Consolidação,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.1.8.0.0.00.00,2.1.8.0.0.00.00 - Demais Obrigações a Curto Prazo,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.1.8.9.0.00.00,2.1.8.9.0.00.00 - Outras Obrigações a Curto Prazo,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.1.8.9.1.00.00,2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P2.2.1.0.0.00.00,"2.2.1.0.0.00.00 - Obrigações Trabalhistas, Previdenciárias e Assistenciais a Pagar a Longo Prazo",1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.2.1.1.0.00.00,2.2.1.1.0.00.00 - Pessoal a Pagar,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.2.1.1.1.00.00,2.2.1.1.1.00.00 - Pessoal a Pagar- Consolidação,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.2.7.0.0.00.00,2.2.7.0.0.00.00 - Provisões a Longo Prazo,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.2.7.2.0.00.00,2.2.7.2.0.00.00 - Provisões Matemáticas Previdênciárias a Longo Prazo,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.2.7.2.1.00.00,2.2.7.2.1.00.00 - Provisões Matemáticas Previdênciárias a Longo Prazo - Consolidação,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.2.7.2.1.04.00,2.2.7.2.1.04.00 - Plano Previdenciario - Provisoes de Beneficios a Conceder,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P2.3.1.0.0.00.00,2.3.1.0.0.00.00 - Patrimônio Social e Capital Social,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.3.1.2.0.00.00,2.3.1.2.0.00.00 - Capital Social Realizado,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.3.1.2.1.00.00,2.3.1.2.1.00.00 - Capital Social Realizado - Consolidação,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.3.5.0.0.00.00,2.3.5.0.0.00.00 - Reservas de Lucros,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.3.5.5.0.00.00,2.3.5.5.0.00.00 - Reservas de Lucros para Expansão,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.3.5.5.1.00.00,2.3.5.5.1.00.00 - Reservas de Lucros para Expansão - Consolidação,1,1,1,2013,2013
Anexo I-AB,31/12/2013,P2.3.7.0.0.00.00,2.3.7.0.0.00.00 - Resultados Acumulados,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P2.3.7.1.0.00.00,2.3.7.1.0.00.00 - Superávits ou Déficits Acumulados,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P2.3.7.1.1.00.00,2.3.7.1.1.00.00 - Superávits ou Déficits Acumulados - Consolidação,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P2.3.7.1.1.01.00,2.3.7.1.1.01.00 - Superávits ou Déficits do Exercício,2,2,1,2013,2013
Anexo I-AB,31/12/2013,P2.3.7.1.1.02.00,2.3.7.1.1.02.00 - Superavits ou Deficits de Exercicios Anteriores,1,1,1,2013,2013
Anexo I-AB,31/12/2013,ParticipacaoSocietaria,64 - Participação Societária,16,16,1,2013,2013
Anexo I-AB,31/12/2013,ParticipacaoSocietariaEmEmpresasDependentes,65 - Participação Societária em Empresas Dependentes,1,1,1,2013,2013
Anexo I-AB,31/12/2013,Passivo,1 - PASSIVO = (64+65+69),293,293,1,2013,2013
