ano,territorio,nivel_territorial,codigo_municipio,etapa_ensino,indicador_codigo,indicador_nome,valor,unidade,fonte,observacao_metodologica
2018,Tijucas,Município,4218004,Ensino fundamental,taxa_abandono,Taxa de abandono,0.50,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2018,Tijucas,Município,4218004,Anos iniciais,taxa_abandono,Taxa de abandono,0.10,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2018,Tijucas,Município,4218004,Anos finais,taxa_abandono,Taxa de abandono,1.00,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2018,Tijucas,Município,4218004,Ensino médio,taxa_abandono,Taxa de abandono,7.30,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2019,Tijucas,Município,4218004,Ensino fundamental,taxa_aprovacao,Taxa de aprovação,89.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2019,Tijucas,Município,4218004,Anos iniciais,taxa_aprovacao,Taxa de aprovação,95.30,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2019,Tijucas,Município,4218004,Anos finais,taxa_aprovacao,Taxa de aprovação,82.10,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2019,Tijucas,Município,4218004,Ensino médio,taxa_aprovacao,Taxa de aprovação,76.00,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2019,Tijucas,Município,4218004,Ensino fundamental,taxa_reprovacao,Taxa de reprovação,9.20,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2019,Tijucas,Município,4218004,Anos iniciais,taxa_reprovacao,Taxa de reprovação,4.10,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
